Symbol,Name,Sector,Industry
CF,CF Industries Holdings Inc. Common Stock,Industrials,Agricultural Chemicals
CFG,Citizens Financial Group Inc. Common Stock,Finance,Major Banks
CG,The Carlyle Group Inc. Common Stock,Finance,Investment Managers
CHD,Church & Dwight Company Inc. Common Stock,Consumer Discretionary,Package Goods/Cosmetics
CHK,Chesapeake Energy Corporation Common Stock,Energy,Oil & Gas Production
CHKP,Check Point Software Technologies Ltd. Ordinary Shares,Technology,Computer Software: Prepackaged Software
CHRW,C.H. Robinson Worldwide Inc. Common Stock,Consumer Discretionary,Oil Refining/Marketing
CHT,Chunghwa Telecom Co. Ltd.,Telecommunications,Telecommunications Equipment
CHTR,Charter Communications Inc. Class A Common Stock New,Consumer Discretionary,Telecommunications Equipment
CHWY,Chewy Inc. Class A Common Stock,Consumer Discretionary,Catalog/Specialty Distribution
CI,Cigna Corporation Common Stock,Health Care,Medical Specialities
CINF,Cincinnati Financial Corporation Common Stock,Finance,Property-Casualty Insurers
CL,Colgate-Palmolive Company Common Stock,Consumer Discretionary,Package Goods/Cosmetics
CLX,Clorox Company (The) Common Stock,Consumer Discretionary,Specialty Chemicals
CM,Canadian Imperial Bank of Commerce Common Stock,,
CMA,Comerica Incorporated Common Stock,Finance,Major Banks
CMCSA,Comcast Corporation Class A Common Stock,Consumer Discretionary,Telecommunications Equipment
CME,CME Group Inc. Class A Common Stock,Finance,Investment Bankers/Brokers/Service
CMG,Chipotle Mexican Grill Inc. Common Stock,Consumer Discretionary,Restaurants
CMI,Cummins Inc. Common Stock,Industrials,Construction/Ag Equipment/Trucks
CMS,CMS Energy Corporation Common Stock,Utilities,Power Generation
CNA,CNA Financial Corporation Common Stock,Finance,Property-Casualty Insurers
CNC,Centene Corporation Common Stock,Health Care,Medical Specialities
CNHI,CNH Industrial N.V. Common Shares,Industrials,Construction/Ag Equipment/Trucks
CNI,Canadian National Railway Company Common Stock,,
CNP,CenterPoint Energy Inc (Holding Co) Common Stock,Utilities,Electric Utilities: Central
CNQ,Canadian Natural Resources Limited Common Stock,,
COF,Capital One Financial Corporation Common Stock,Finance,Finance Companies
COIN,Coinbase Global Inc. Class A Common Stock,Technology,EDP Services
COO,The Cooper Companies Inc. Common Stock,Health Care,Ophthalmic Goods
COP,ConocoPhillips Common Stock,Energy,Integrated oil Companies
COST,Costco Wholesale Corporation Common Stock,Consumer Discretionary,Department/Specialty Retail Stores
CP,Canadian Pacific Railway Limited Common Stock,,
CPB,Campbell Soup Company Common Stock,Consumer Staples,Packaged Foods
CPNG,Coupang Inc. Class A Common Stock,Consumer Discretionary,Durable Goods
CPRT,Copart Inc. (DE) Common Stock,Consumer Discretionary,Other Specialty Stores
CPT,Camden Property Trust Common Stock,Real Estate,Real Estate Investment Trusts
CQP,Cheniere Energy Partners LP Cheniere Energy Partners LP Common Units,Utilities,Oil/Gas Transmission
CRH,CRH PLC American Depositary Shares,Industrials,Building Materials
CRL,Charles River Laboratories International Inc. Common Stock,Consumer Discretionary,EDP Services
CRM,Salesforce Inc. Common Stock,Technology,Computer Software: Prepackaged Software
CRWD,CrowdStrike Holdings Inc. Class A Common Stock,Technology,EDP Services
CS,Credit Suisse Group American Depositary Shares,Finance,Investment Bankers/Brokers/Service
CSCO,Cisco Systems Inc. Common Stock (DE),Telecommunications,Computer Communications Equipment
CSGP,CoStar Group Inc. Common Stock,Finance,Real Estate
CSL,Carlisle Companies Incorporated Common Stock,,
CSX,CSX Corporation Common Stock,Industrials,Railroads
CTAS,Cintas Corporation Common Stock,Consumer Discretionary,Business Services
CTLT,Catalent Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
CTRA,Coterra Energy Inc. Common Stock,Energy,Oil & Gas Production
CTSH,Cognizant Technology Solutions Corporation Class A Common Stock,Technology,EDP Services
CTVA,Corteva Inc. Common Stock ,Industrials,Major Chemicals
CUBE,CubeSmart Common Shares,Real Estate,Real Estate Investment Trusts
CUK,Carnival Plc ADS ADS,Consumer Discretionary,Marine Transportation
CVE,Cenovus Energy Inc Common Stock,,
CVS,CVS Health Corporation Common Stock,Health Care,Managed Health Care
CVX,Chevron Corporation Common Stock,Energy,Integrated oil Companies
CZR,Caesars Entertainment Inc. Common Stock,Consumer Discretionary,Hotels/Resorts
D,Dominion Energy Inc. Common Stock,Utilities,Electric Utilities: Central
DAL,Delta Air Lines Inc. Common Stock,Consumer Discretionary,Air Freight/Delivery Services
DAR,Darling Ingredients Inc. Common Stock,Consumer Staples,Farming/Seeds/Milling
DASH,DoorDash Inc. Class A Common Stock,Industrials,Industrial Machinery/Components
DB,Deutsche Bank AG Common Stock,Finance,Commercial Banks
DBRG,DigitalBridge Group Inc.,Real Estate,Real Estate Investment Trusts
DD,DuPont de Nemours Inc. Common Stock,Consumer Discretionary,Wholesale Distributors
DDOG,Datadog Inc. Class A Common Stock,Technology,EDP Services
DE,Deere & Company Common Stock,Industrials,Industrial Machinery/Components
DELL,Dell Technologies Inc. Class C Common Stock ,Technology,Computer Manufacturing
DEO,Diageo plc Common Stock,Consumer Staples,Beverages (Production/Distribution)
DFS,Discover Financial Services Common Stock,Finance,Finance: Consumer Services
DG,Dollar General Corporation Common Stock,Consumer Discretionary,Department/Specialty Retail Stores
DGX,Quest Diagnostics Incorporated Common Stock,Health Care,Medical Specialities
DHI,D.R. Horton Inc. Common Stock,,
DHR,Danaher Corporation Common Stock,Health Care,Medical Specialities
DINO,HF Sinclair Corporation Common Stock,Energy,Integrated oil Companies
DIS,Walt Disney Company (The) Common Stock,Consumer Discretionary,Movies/Entertainment
DISH,DISH Network Corporation Class A Common Stock,Consumer Discretionary,Telecommunications Equipment
DLR,Digital Realty Trust Inc. Common Stock,Real Estate,Real Estate Investment Trusts
DLTR,Dollar Tree Inc. Common Stock,Consumer Discretionary,Department/Specialty Retail Stores
DOCU,DocuSign Inc. Common Stock,Technology,EDP Services
DOV,Dover Corporation Common Stock,Industrials,Industrial Machinery/Components
DOW,Dow Inc. Common Stock ,Industrials,Industrial Specialties
DOX,Amdocs Limited Ordinary Shares,Technology,EDP Services
DPZ,Domino's Pizza Inc Common Stock,Consumer Discretionary,Food Distributors
DRI,Darden Restaurants Inc. Common Stock,Consumer Discretionary,Restaurants
DT,Dynatrace Inc. Common Stock,Technology,EDP Services
DTE,DTE Energy Company Common Stock,Utilities,Electric Utilities: Central
DUK,Duke Energy Corporation (Holding Company) Common Stock,Utilities,Power Generation
DVN,Devon Energy Corporation Common Stock,Energy,Oil & Gas Production
DXCM,DexCom Inc. Common Stock,Health Care,Medical Specialities
E,ENI S.p.A. Common Stock,Energy,Oil & Gas Production
EA,Electronic Arts Inc. Common Stock,Consumer Discretionary,Recreational Games/Products/Toys
EBAY,eBay Inc. Common Stock,Consumer Discretionary,Catalog/Specialty Distribution
EBR,Centrais Electricas Brasileiras S A American Depositary Shares (Each representing one Common Share),Utilities,Electric Utilities: Central
EC,Ecopetrol S.A. American Depositary Shares,Energy,Oil & Gas Production
ECL,Ecolab Inc. Common Stock,Consumer Discretionary,Package Goods/Cosmetics
ED,Consolidated Edison Inc. Common Stock,Utilities,Power Generation
EFX,Equifax Inc. Common Stock,Finance,Advertising
EIX,Edison International Common Stock,Utilities,Electric Utilities: Central
EL,Estee Lauder Companies Inc. (The) Common Stock,Consumer Discretionary,Package Goods/Cosmetics
ELP,Companhia Paranaense de Energia (COPEL) American Depositary Shares (each representing one Unit consisting one Common Share and four non-voting Class B Preferred Shares),Utilities,Electric Utilities: Central
ELS,Equity Lifestyle Properties Inc. Common Stock,Real Estate,Real Estate Investment Trusts
ELV,Elevance Health Inc. Common Stock,Health Care,Medical Specialities
EMN,Eastman Chemical Company Common Stock,Industrials,Major Chemicals
EMR,Emerson Electric Company Common Stock,Industrials,Industrial Machinery/Components
ENB,Enbridge Inc Common Stock,Energy,Oil & Gas Production
ENPH,Enphase Energy Inc. Common Stock,Technology,Electrical Products
ENTG,Entegris Inc. Common Stock,Technology,Semiconductors
EOG,EOG Resources Inc. Common Stock,Energy,Oil & Gas Production
EPAM,EPAM Systems Inc. Common Stock,Technology,EDP Services
EPD,Enterprise Products Partners L.P. Common Stock,Utilities,Natural Gas Distribution
EQH,Equitable Holdings Inc. Common Stock,,
EQIX,Equinix Inc. Common Stock REIT,Real Estate,Real Estate Investment Trusts
EQNR,Equinor ASA,Energy,Integrated oil Companies
EQR,Equity Residential Common Shares of Beneficial Interest,Real Estate,Real Estate Investment Trusts
EQT,EQT Corporation Common Stock,Energy,Oil & Gas Production
ERIC,Ericsson American Depositary Shares,Technology,Computer Software: Prepackaged Software
ERIE,Erie Indemnity Company Class A Common Stock,Finance,Specialty Insurers
ES,Eversource Energy (D/B/A) Common Stock,Utilities,Electric Utilities: Central
ESS,Essex Property Trust Inc. Common Stock,Real Estate,Real Estate Investment Trusts
ET,Energy Transfer LP Common Units ,Utilities,Natural Gas Distribution
ETN,Eaton Corporation PLC Ordinary Shares,Industrials,Industrial Machinery/Components
ETR,Entergy Corporation Common Stock,Utilities,Electric Utilities: Central
ETSY,Etsy Inc. Common Stock,Consumer Discretionary,Catalog/Specialty Distribution
EVRG,Evergy Inc. Common Stock,Utilities,Power Generation
EW,Edwards Lifesciences Corporation Common Stock,Health Care,Industrial Specialties
EWBC,East West Bancorp Inc. Common Stock,Finance,Commercial Banks
EXC,Exelon Corporation Common Stock,Utilities,Power Generation
EXPD,Expeditors International of Washington Inc. Common Stock,Consumer Discretionary,Oil Refining/Marketing
EXPE,Expedia Group Inc. Common Stock,Consumer Discretionary,Other Consumer Services
EXR,Extra Space Storage Inc Common Stock,Real Estate,Real Estate Investment Trusts
F,Ford Motor Company Common Stock,Consumer Discretionary,Auto Manufacturing
FANG,Diamondback Energy Inc. Common Stock,Energy,Oil & Gas Production
FAST,Fastenal Company Common Stock,Basic Materials,Construction Materials
FCNCA,First Citizens BancShares Inc. Class A Common Stock,Finance,Major Banks
FCX,Freeport-McMoRan Inc. Common Stock,Basic Materials,Metal Mining
FDS,FactSet Research Systems Inc. Common Stock,Finance,Advertising
FDX,FedEx Corporation Common Stock,Consumer Discretionary,Air Freight/Delivery Services
FE,FirstEnergy Corp. Common Stock,Utilities,Electric Utilities: Central
FERG,Ferguson plc Ordinary Shares,Consumer Discretionary,Industrial Machinery/Components
FHN,First Horizon Corporation Common Stock,Finance,Major Banks
FICO,Fair Isaac Corproation Common Stock,Technology,Computer Software: Prepackaged Software
FIS,Fidelity National Information Services Inc. Common Stock,Consumer Discretionary,Business Services
FISV,Fiserv Inc. Common Stock,Consumer Discretionary,Business Services
FITB,Fifth Third Bancorp Common Stock,Finance,Major Banks
FLT,FleetCor Technologies Inc. Common Stock,Technology,EDP Services
FMC,FMC Corporation Common Stock,Industrials,Agricultural Chemicals
FMS,Fresenius Medical Care AG Common Stock,Health Care,Medical/Nursing Services
FMX,Fomento Economico Mexicano S.A.B. de C.V. Common Stock,Consumer Staples,Beverages (Production/Distribution)
FNF,FNF Group of Fidelity National Financial Inc. Common Stock,Finance,Specialty Insurers
FNV,Franco-Nevada Corporation,,
FOX,Fox Corporation Class B Common Stock,Industrials,Broadcasting
FOXA,Fox Corporation Class A Common Stock,Industrials,Broadcasting
FRC,FIRST REPUBLIC BANK Common Stock,Finance,Commercial Banks
FSLR,First Solar Inc. Common Stock,Technology,Semiconductors
FTNT,Fortinet Inc. Common Stock,Technology,Security Systems Services
FTS,Fortis Inc. Common Shares,Utilities,Electric Utilities: Central
FTV,Fortive Corporation Common Stock ,Industrials,Industrial Machinery/Components
FWONA,Liberty Media Corporation Series A Liberty Formula One Common Stock,Consumer Discretionary,Movies/Entertainment
FWONK,Liberty Media Corporation Series C Liberty Formula One Common Stock,Consumer Discretionary,Movies/Entertainment
GD,General Dynamics Corporation Common Stock,Industrials,Aerospace
GDDY,GoDaddy Inc. Class A Common Stock,Technology,EDP Services
GE,General Electric Company Common Stock,Consumer Discretionary,Metal Fabrications
GFL,GFL Environmental Inc. Subordinate voting shares no par value,,
GFS,GlobalFoundries Inc. Ordinary Shares,,
GGG,Graco Inc. Common Stock,Industrials,Fluid Controls
GIB,CGI Inc. Common Stock,,
GILD,Gilead Sciences Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
GIS,General Mills Inc. Common Stock,Consumer Staples,Food Chains
GL,Globe Life Inc. Common Stock,Finance,Life Insurance
GLPI,Gaming and Leisure Properties Inc. Common Stock,Real Estate,Real Estate Investment Trusts
GLW,Corning Incorporated Common Stock,Technology,Industrial Machinery/Components
GM,General Motors Company Common Stock,Consumer Discretionary,Auto Manufacturing
GMAB,Genmab A/S ADS,Health Care,Biotechnology: Commercial Physical & Biological Resarch
GNRC,Generac Holdlings Inc. Common Stock,Consumer Discretionary,Metal Fabrications
GOLD,Barrick Gold Corporation Common Stock (BC),,
GOOG,Alphabet Inc. Class C Capital Stock,Technology,Internet and Information Services
GOOGL,Alphabet Inc. Class A Common Stock,Technology,Internet and Information Services
GPC,Genuine Parts Company Common Stock,Consumer Discretionary,Automotive Aftermarket
GPN,Global Payments Inc. Common Stock,Consumer Discretionary,Business Services
GRAB,Grab Holdings Limited Class A Ordinary Shares,,
GRMN,Garmin Ltd. Common Stock (Switzerland),Industrials,Industrial Machinery/Components
GS,Goldman Sachs Group Inc. (The) Common Stock,Finance,Investment Bankers/Brokers/Service
GWW,W.W. Grainger Inc. Common Stock,Consumer Discretionary,Telecommunications Equipment
H,Hyatt Hotels Corporation Class A Common Stock,Consumer Discretionary,Hotels/Resorts
HAL,Halliburton Company Common Stock,Energy,Oil & Gas Production
HAS,Hasbro Inc. Common Stock,Consumer Discretionary,Recreational Games/Products/Toys
HBAN,Huntington Bancshares Incorporated Common Stock,Finance,Major Banks
HCA,HCA Healthcare Inc. Common Stock,Health Care,Hospital/Nursing Management
HD,Home Depot Inc. (The) Common Stock,Consumer Discretionary,RETAIL: Building Materials
HDB,HDFC Bank Limited Common Stock,Finance,Commercial Banks
HEI,Heico Corporation Common Stock,Industrials,Military/Government/Technical
HES,Hess Corporation Common Stock,Energy,Oil & Gas Production
HIG,Hartford Financial Services Group Inc. (The) Common Stock,Finance,Property-Casualty Insurers
HKD,AMTD Digital Inc. American Depositary Shares (every five of which represent two Class A Ordinary Shares),,
HLN,Haleon plc American Depositary Shares (Each representing two Ordinary Shares),,
HLT,Hilton Worldwide Holdings Inc. Common Stock ,Consumer Discretionary,Hotels/Resorts
HMC,Honda Motor Company Ltd. Common Stock,Consumer Discretionary,Auto Manufacturing
HOLX,Hologic Inc. Common Stock,Health Care,Medical Electronics
HON,Honeywell International Inc. Common Stock,Industrials,Consumer Electronics/Appliances
HPE,Hewlett Packard Enterprise Company Common Stock,Telecommunications,Telecommunications Equipment
HPQ,HP Inc. Common Stock,Technology,Computer Manufacturing
HRL,Hormel Foods Corporation Common Stock,Consumer Staples,Meat/Poultry/Fish
HSBC,HSBC Holdings plc. Common Stock,Finance,Savings Institutions
HSIC,Henry Schein Inc. Common Stock,Health Care,Medical Specialities
HST,Host Hotels & Resorts Inc. Common Stock,Real Estate,Real Estate Investment Trusts
HSY,The Hershey Company Common Stock,Consumer Staples,Specialty Foods
HTHT,H World Group Limited American Depositary Shares,Consumer Discretionary,Hotels/Resorts
HUBB,Hubbell Inc Common Stock,Technology,Industrial Machinery/Components
HUBS,HubSpot Inc. Common Stock,Technology,Computer Software: Prepackaged Software
HUM,Humana Inc. Common Stock,Health Care,Medical Specialities
HWM,Howmet Aerospace Inc. Common Stock,Industrials,Military/Government/Technical
HZNP,Horizon Therapeutics Public Limited Company Ordinary Shares,Health Care,Biotechnology: Pharmaceutical Preparations
IBM,International Business Machines Corporation Common Stock,Technology,EDP Services
IBN,ICICI Bank Limited Common Stock,Finance,Commercial Banks
ICE,Intercontinental Exchange Inc. Common Stock,Finance,Investment Bankers/Brokers/Service
ICL,ICL Group Ltd. Ordinary Shares,Industrials,Agricultural Chemicals
ICLR,ICON plc Ordinary Shares,Health Care,Biotechnology: Commercial Physical & Biological Resarch
IDXX,IDEXX Laboratories Inc. Common Stock,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
IEP,Icahn Enterprises L.P. Common Stock,Industrials,Consumer Electronics/Appliances
IEX,IDEX Corporation Common Stock,Industrials,Fluid Controls
IFF,International Flavors & Fragrances Inc. Common Stock,Industrials,Major Chemicals
IHG,Intercontinental Hotels Group American Depositary Shares (Each representing one Ordinary Share),Consumer Discretionary,Hotels/Resorts
ILMN,Illumina Inc. Common Stock,Health Care,Medical Specialities
IMO,Imperial Oil Limited Common Stock,,
INCY,Incyte Corp. Common Stock,Health Care,Biotechnology: Commercial Physical & Biological Resarch
INFY,Infosys Limited American Depositary Shares,Technology,EDP Services
ING,ING Group N.V. Common Stock,Finance,Commercial Banks
INTC,Intel Corporation Common Stock,Technology,Semiconductors
INTR,Inter & Co. Inc. Class A Common Shares,,
INTU,Intuit Inc. Common Stock,Technology,Computer Software: Prepackaged Software
INVH,Invitation Homes Inc. Common Stock,Real Estate,Real Estate Investment Trusts
IP,International Paper Company Common Stock,Industrials,Containers/Packaging
IPG,Interpublic Group of Companies Inc. (The) Common Stock,Consumer Discretionary,Advertising
IQV,IQVIA Holdings Inc. Common Stock,Health Care,Managed Health Care
IR,Ingersoll Rand Inc. Common Stock,Industrials,Industrial Machinery/Components
IRM,Iron Mountain Incorporated (Delaware)Common Stock REIT,Real Estate,Real Estate Investment Trusts
ISRG,Intuitive Surgical Inc. Common Stock,Health Care,Medical/Dental Instruments
IT,Gartner Inc. Common Stock,Finance,Diversified Commercial Services
ITUB,Itau Unibanco Banco Holding SA American Depositary Shares (Each repstg 500 Preferred shares),Finance,Major Banks
ITW,Illinois Tool Works Inc. Common Stock,Industrials,Industrial Machinery/Components
IX,Orix Corp Ads Common Stock,Finance,Diversified Financial Services
J,Jacobs Solutions Inc. Common Stock,Industrials,Oilfield Services/Equipment
JBHT,J.B. Hunt Transport Services Inc. Common Stock,Industrials,Trucking Freight/Courier Services
JCI,Johnson Controls International plc Ordinary Share,Consumer Discretionary,Auto Parts:O.E.M.
JD,JD.com Inc. American Depositary Shares,Consumer Discretionary,Catalog/Specialty Distribution
JHX,James Hardie Industries plc American Depositary Shares (Ireland),Industrials,Building Materials
JKHY,Jack Henry & Associates Inc. Common Stock,Technology,Retail: Computer Software & Peripheral Equipment
JNJ,Johnson & Johnson Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
JPM,JP Morgan Chase & Co. Common Stock,Finance,Major Banks
K,Kellogg Company Common Stock,Consumer Staples,Packaged Foods
KB,KB Financial Group Inc,Finance,Commercial Banks
KDP,Keurig Dr Pepper Inc. Common Stock,Consumer Staples,Beverages (Production/Distribution)
KEY,KeyCorp Common Stock,Finance,Major Banks
KEYS,Keysight Technologies Inc. Common Stock,Industrials,Industrial Machinery/Components
KHC,The Kraft Heinz Company Common Stock,Consumer Staples,Farming/Seeds/Milling
KIM,Kimco Realty Corporation Common Stock,Real Estate,Real Estate Investment Trusts
KKR,KKR & Co. Inc. Common Stock,Finance,Investment Managers
KLAC,KLA Corporation Common Stock,Technology,Electronic Components
KMB,Kimberly-Clark Corporation Common Stock,Consumer Discretionary,Paper
KMI,Kinder Morgan Inc. Common Stock,Utilities,Natural Gas Distribution
KMX,CarMax Inc,Consumer Discretionary,Other Specialty Stores
KO,Coca-Cola Company (The) Common Stock,Consumer Staples,Beverages (Production/Distribution)
KOF,Coca Cola Femsa S.A.B. de C.V.  American Depositary Shares each representing 10 Units (each Unit consists of 3 Series B Shares and 5 Series L Shares),Consumer Staples,Beverages (Production/Distribution)
KR,Kroger Company (The) Common Stock,Consumer Staples,Food Chains
L,Loews Corporation Common Stock,Finance,Property-Casualty Insurers
LAMR,Lamar Advertising Company Class A Common Stock,Real Estate,Real Estate Investment Trusts
LBRDA,Liberty Broadband Corporation Class A Common Stock,Consumer Discretionary,Telecommunications Equipment
LBRDK,Liberty Broadband Corporation Class C Common Stock,Consumer Discretionary,Telecommunications Equipment
LBTYK,Liberty Global plc Class C Ordinary Shares,Telecommunications,Cable & Other Pay Television Services
LCID,Lucid Group Inc. Common Stock,Consumer Discretionary,Auto Manufacturing
LDOS,Leidos Holdings Inc. Common Stock,Technology,EDP Services
LEN,Lennar Corporation Class A Common Stock,Real Estate,Building operators
LH,Laboratory Corporation of America Holdings Common Stock,Health Care,Medical Specialities
LHX,L3Harris Technologies Inc. Common Stock,Industrials,Industrial Machinery/Components
LI,Li Auto Inc. American Depositary Shares,Consumer Discretionary,Auto Manufacturing
LIN,Linde plc Ordinary Share,Industrials,Major Chemicals
LKQ,LKQ Corporation Common Stock,Consumer Discretionary,Automotive Aftermarket
LLY,Eli Lilly and Company Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
